budget,method,r2,rmse,rpd,r2_std,prep
14,random,-2.035173860700737,0.023135639181114682,0.6392099207646158,2.763825503593563,SG + 1st Deriv
16,greedy,-0.32700419250242985,0.021874044629451403,0.8680881993196919,,SG + 1st Deriv
16,random,-5.407837027638204,0.021670575843297922,0.5772244795459742,13.577284899112227,SG + 1st Deriv
2,greedy,-4.164429603607429,0.03315373521970791,0.44003661889404316,,SG + 2nd Deriv
2,random,-1.5075661830866245,0.024298048871872497,0.7309509428236234,1.9653683045762904,SG + 2nd Deriv
4,greedy,-3.560854257946594,0.029646263578600767,0.46824904759592756,,SG + 2nd Deriv
4,random,-2.3307424343395513,0.027093281509867798,0.6183648223653793,2.357464783830139,SG + 2nd Deriv
6,greedy,-2.0753189752611565,0.025690343283737715,0.5702363734586381,,SG + 2nd Deriv
6,random,-1.706830647206225,0.025679202856707457,0.6704652834488559,1.4176208301953348,SG + 2nd Deriv
8,greedy,-1.7401590628195498,0.022175806317719125,0.604104558808297,,SG + 2nd Deriv
8,random,-1.8533801982841678,0.025097054022961873,0.6606500879840738,2.009556641215583,SG + 2nd Deriv
10,greedy,-1.5133508653813261,0.022627450954044427,0.6307735002837739,,SG + 2nd Deriv
10,random,-1.319576546701721,0.02396451639507365,0.686102645846499,0.9479399442899963,SG + 2nd Deriv
12,greedy,-0.7233810810212797,0.01799940913220156,0.7617445215805358,,SG + 2nd Deriv
12,random,-1.4970627451730603,0.023623396485496783,0.6679534982176851,1.0433723722327362,SG + 2nd Deriv
14,greedy,-0.14916252617527204,0.016737059470631303,0.932844536572758,,SG + 2nd Deriv
14,random,-1.8538969793185873,0.022593477044800008,0.6540805324346122,2.4792165501007926,SG + 2nd Deriv
16,greedy,-3.016157452935853,0.019954542944602627,0.498993208265012,,SG + 2nd Deriv
16,random,-4.256620867571882,0.020956551633765547,0.5901339044667935,8.83068759887544,SG + 2nd Deriv
2,greedy,-2.6312037179230865,0.030496260877452466,0.5247768795694586,,SG + SNV + 1st Der
2,random,-1.3521176319383297,0.0239742358094107,0.7315317249451112,1.2749969803452241,SG + SNV + 1st Der
4,greedy,-4.721710557482905,0.03208812078147392,0.4180584997902828,,SG + SNV + 1st Der
4,random,-2.5179866820839965,0.02804416819055688,0.6050889528369368,1.917788166081487,SG + SNV + 1st Der
6,greedy,-3.072179606482263,0.028836091297267476,0.4955489242367099,,SG + SNV + 1st Der
6,random,-1.8968252547775362,0.02588358374815423,0.6797313195579353,2.4331215920151608,SG + SNV + 1st Der
8,greedy,-2.2524433970055022,0.02765439262981825,0.5544917979103805,,SG + SNV + 1st Der
8,random,-1.492759163450218,0.023773631925818217,0.6881570697391604,1.252216710710117,SG + SNV + 1st Der
10,greedy,-1.9376549903781974,0.021901787415367406,0.5834445741443569,,SG + SNV + 1st Der
10,random,-1.310918208145396,0.023678277091454442,0.6996402835815628,1.3297320946734528,SG + SNV + 1st Der
12,greedy,-1.6687193716361515,0.02323301252433685,0.6121368804394943,,SG + SNV + 1st Der
